"driver_name","year","max_points","total_races","points_per_race","driverref","forename","surname","age_in_years"
"max_verstappen","2023","575.00","22","26.14","max_verstappen","Max","Verstappen","26.9"
"max_verstappen","2024","255.00","12","21.25","max_verstappen","Max","Verstappen","26.9"
"max_verstappen","2022","454.00","22","20.64","max_verstappen","Max","Verstappen","26.9"
"hamilton","2020","347.00","17","20.41","hamilton","Lewis","Hamilton","39.7"
"hamilton","2014","384.00","19","20.21","hamilton","Lewis","Hamilton","39.7"
"hamilton","2015","381.00","19","20.05","hamilton","Lewis","Hamilton","39.7"
"hamilton","2019","413.00","21","19.67","hamilton","Lewis","Hamilton","39.7"
"hamilton","2018","408.00","21","19.43","hamilton","Lewis","Hamilton","39.7"
"hamilton","2017","363.00","20","18.15","hamilton","Lewis","Hamilton","39.7"
"hamilton","2016","380.00","21","18.10","hamilton","Lewis","Hamilton","39.7"
"max_verstappen","2021","395.50","22","17.98","max_verstappen","Max","Verstappen","26.9"
"hamilton","2021","387.50","22","17.61","hamilton","Lewis","Hamilton","39.7"
"leclerc","2022","308.00","22","14.00","leclerc","Charles","Leclerc","26.9"
"perez","2022","305.00","22","13.86","perez","Sergio","Pérez","34.6"
"max_verstappen","2019","278.00","21","13.24","max_verstappen","Max","Verstappen","26.9"
"perez","2023","285.00","22","12.95","perez","Sergio","Pérez","34.6"
"hamilton","2010","240.00","19","12.63","hamilton","Lewis","Hamilton","39.7"
"max_verstappen","2020","214.00","17","12.59","max_verstappen","Max","Verstappen","26.9"
"leclerc","2019","264.00","21","12.57","leclerc","Charles","Leclerc","26.9"
"leclerc","2024","150.00","12","12.50","leclerc","Charles","Leclerc","26.9"
"sainz","2024","146.00","12","12.17","sainz","Carlos","Sainz","30.0"
"hamilton","2011","227.00","19","11.95","hamilton","Lewis","Hamilton","39.7"
"max_verstappen","2018","249.00","21","11.86","max_verstappen","Max","Verstappen","26.9"
"sainz","2022","246.00","22","11.18","sainz","Carlos","Sainz","30.0"
"hamilton","2022","240.00","22","10.91","hamilton","Lewis","Hamilton","39.7"
"hamilton","2023","234.00","22","10.64","hamilton","Lewis","Hamilton","39.7"
"hamilton","2013","189.00","19","9.95","hamilton","Lewis","Hamilton","39.7"
"perez","2024","118.00","12","9.83","perez","Sergio","Pérez","34.6"
"max_verstappen","2016","204.00","21","9.71","max_verstappen","Max","Verstappen","26.9"
"hamilton","2012","190.00","20","9.50","hamilton","Lewis","Hamilton","39.7"
"leclerc","2023","206.00","22","9.36","leclerc","Charles","Leclerc","26.9"
"hamilton","2024","110.00","12","9.17","hamilton","Lewis","Hamilton","39.7"
"sainz","2023","200.00","22","9.09","sainz","Carlos","Sainz","30.0"
"perez","2021","190.00","22","8.64","perez","Sergio","Pérez","34.6"
"max_verstappen","2017","168.00","20","8.40","max_verstappen","Max","Verstappen","26.9"
"sainz","2021","164.50","22","7.48","sainz","Carlos","Sainz","30.0"
"perez","2020","125.00","17","7.35","perez","Sergio","Pérez","34.6"
"leclerc","2021","159.00","22","7.23","leclerc","Charles","Leclerc","26.9"
"sainz","2020","105.00","17","6.18","sainz","Carlos","Sainz","30.0"
"leclerc","2020","98.00","17","5.76","leclerc","Charles","Leclerc","26.9"
"perez","2017","100.00","20","5.00","perez","Sergio","Pérez","34.6"
"perez","2016","101.00","21","4.81","perez","Sergio","Pérez","34.6"
"sainz","2019","96.00","21","4.57","sainz","Carlos","Sainz","30.0"
"perez","2015","78.00","19","4.11","perez","Sergio","Pérez","34.6"
"perez","2012","66.00","20","3.30","perez","Sergio","Pérez","34.6"
"perez","2014","59.00","19","3.11","perez","Sergio","Pérez","34.6"
"perez","2018","62.00","21","2.95","perez","Sergio","Pérez","34.6"
"sainz","2017","54.00","20","2.70","sainz","Carlos","Sainz","30.0"
"perez","2013","49.00","19","2.58","perez","Sergio","Pérez","34.6"
"max_verstappen","2015","49.00","19","2.58","max_verstappen","Max","Verstappen","26.9"
"sainz","2018","53.00","21","2.52","sainz","Carlos","Sainz","30.0"
"perez","2019","52.00","21","2.48","perez","Sergio","Pérez","34.6"
"sainz","2016","46.00","21","2.19","sainz","Carlos","Sainz","30.0"
"leclerc","2018","39.00","21","1.86","leclerc","Charles","Leclerc","26.9"
"sainz","2015","18.00","19","0.95","sainz","Carlos","Sainz","30.0"
"perez","2011","14.00","18","0.78","perez","Sergio","Pérez","34.6"
