year,avg_age_in_years,,,,,,
1950,36.83,,,,,,
1951,37.02,,,,,,
1952,36.07,,,,,,
1953,34.82,,,,,,
1954,34.5,,,,,,
1955,34.7,,,,,,
1956,34.76,,,,,,
1957,33.32,,,,,,
1958,33.8,,,,,,
1959,33.25,,,,,,
1960,33.53,,,,,,
1961,31.02,,,,,,
1962,30.87,,,,,,
1963,31.73,,,,,,
1964,32.03,,,,,,
1965,31.27,,,,,,
1966,32.05,,,,,,
1967,32.25,,,,,,
1968,32.1,,,,,,
1969,32.65,,,,,,
1970,31.87,,,,,,
1971,32.15,,,,,,
1972,31.74,,,,,,
1973,31.45,,,,,,
1974,31.42,,,,,,
1975,30.9,,,,,,
1976,30.56,,,,,,
1977,30.68,,MIN,MAX,DIFFERENCE,PERCENTAGE,ROUNDED
1978,30.97,,27.19,37.02,9.83,26.55321448,27
1979,30.9,,,,,,
1980,30.4,,,,,,
1981,29.97,,,,,,
1982,30.28,,,,,,
1983,30.22,,,,,,
1984,29.76,,,,,,
1985,30.77,,,,,,
1986,31.41,,,,,,
1987,30.29,,,,,,
1988,30.43,,,,,,
1989,30.15,,,,,,
1990,30.18,,,,,,
1991,30.15,,,,,,
1992,30.1,,,,,,
1993,30.88,,,,,,
1994,29.68,,,,,,
1995,29.8,,,,,,
1996,29.29,,,,,,
1997,28.68,,,,,,
1998,28.51,,,,,,
1999,29.61,,,,,,
2000,28.66,,,,,,
2001,28.24,,,,,,
2002,28.9,,,,,,
2003,28.77,,,,,,
2004,27.93,,,,,,
2005,28.78,,,,,,
2006,29.15,,,,,,
2007,28.21,,,,,,
2008,28.39,,,,,,
2009,28.2,,,,,,
2010,28.57,,,,,,
2011,29.43,,,,,,
2012,29.23,,,,,,
2013,27.53,,,,,,
2014,27.4,,,,,,
2015,27.19,,,,,,
2016,27.33,,,,,,
2017,27.66,,,,,,
2018,27.56,,,,,,
2019,27.53,,,,,,
2020,27.87,,,,,,
2021,28.25,,,,,,
2022,28.5,,,,,,
2023,28.57,,,,,,
2024,29.16,,,,,,
